,categories,demographic,tgt_text,log_probs,pred_sent
0,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],0.2403482550254814,[CLS] _pt_ has a hx of etoh addiction [SEP]
1,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.1407610997909872,[CLS] _pt_ has a hx of etoh addiction [SEP]
2,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.1634041725681059,[CLS] _pt_ has a hx of etoh addiction [SEP]
3,ADD,male,[CLS] _ has a hx of etoh addiction [SEP],-0.10800865763723988,[CLS] _pt_ has a hx of etoh addiction [SEP]
4,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],0.0691253704295565,[CLS] _pt_ has a hx of etoh addiction [SEP]
5,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],0.26223586924131653,[CLS] _pt_ has a hx of etoh addiction [SEP]
6,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],-0.5165832449399032,[CLS] _pt_ has a hx of etoh addiction [SEP]
7,ADD,female,[CLS] _ has a hx of etoh addiction [SEP],0.8257306751096676,[CLS] _pt_ has a hx of etoh addiction [SEP]
8,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],-0.4082046913241208,[CLS] _he_ has a hx of heroin addiction [SEP]
9,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],0.07327298873267349,[CLS] _he_ has a hx of heroin addiction [SEP]
10,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],-0.29835584840225265,[CLS] _he_ has a hx of heroin addiction [SEP]
11,ADD,male,[CLS] _ has a hx of heroin addiction [SEP],-0.7191679245202645,[CLS] _he_ has a hx of heroin addiction [SEP]
12,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.6191117715214527,[CLS] _he_ has a hx of heroin addiction [SEP]
13,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.28556604345502273,[CLS] _he_ has a hx of heroin addiction [SEP]
14,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.7125585416005034,[CLS] _he_ has a hx of heroin addiction [SEP]
15,ADD,female,[CLS] _ has a hx of heroin addiction [SEP],-0.14915049513143466,[CLS] _he_ has a hx of heroin addiction [SEP]
16,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],0.4134681799181921,[CLS] _pt_ has a hx of marijuana addiction [SEP]
17,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],-0.3236038787001471,[CLS] _pt_ has a hx of marijuana addiction [SEP]
18,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],0.30334156394115197,[CLS] _pt_ has a hx of marijuana addiction [SEP]
19,ADD,male,[CLS] _ has a hx of marijuana addiction [SEP],-0.42968440614629205,[CLS] _pt_ has a hx of marijuana addiction [SEP]
20,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],0.23363952872362292,[CLS] _pt_ has a hx of marijuana addiction [SEP]
21,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],0.059693991295296844,[CLS] _pt_ has a hx of marijuana addiction [SEP]
22,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],0.1844184458244583,[CLS] _pt_ has a hx of marijuana addiction [SEP]
23,ADD,female,[CLS] _ has a hx of marijuana addiction [SEP],-0.224124198320727,[CLS] _pt_ has a hx of marijuana addiction [SEP]
24,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],0.3489800625356529,[CLS] _he_ has a hx of alcohol addiction [SEP]
25,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.038943307370695096,[CLS] _he_ has a hx of alcohol addiction [SEP]
26,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.1925049036217342,[CLS] _he_ has a hx of alcohol addiction [SEP]
27,ADD,male,[CLS] _ has a hx of alcohol addiction [SEP],-0.394113109554479,[CLS] _he_ has a hx of alcohol addiction [SEP]
28,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],0.26838588344120967,[CLS] _he_ has a hx of alcohol addiction [SEP]
29,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],0.46804050974683115,[CLS] _he_ has a hx of alcohol addiction [SEP]
30,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],-0.31838519364362877,[CLS] _he_ has a hx of alcohol addiction [SEP]
31,ADD,female,[CLS] _ has a hx of alcohol addiction [SEP],0.23708530327310948,[CLS] _he_ has a hx of alcohol addiction [SEP]
32,ADD,male,[CLS] _ has a history of etoh addiction [SEP],-0.23016152332737239,[CLS] _he_ has a history of etoh addiction [SEP]
33,ADD,male,[CLS] _ has a history of etoh addiction [SEP],-0.21574959414204506,[CLS] _he_ has a history of etoh addiction [SEP]
34,ADD,male,[CLS] _ has a history of etoh addiction [SEP],-0.2954309321028553,[CLS] _he_ has a history of etoh addiction [SEP]
35,ADD,male,[CLS] _ has a history of etoh addiction [SEP],-0.7314872037308116,[CLS] _he_ has a history of etoh addiction [SEP]
36,ADD,female,[CLS] _ has a history of etoh addiction [SEP],-0.21239547846373308,[CLS] _he_ has a history of etoh addiction [SEP]
37,ADD,female,[CLS] _ has a history of etoh addiction [SEP],0.30619262078748266,[CLS] _he_ has a history of etoh addiction [SEP]
38,ADD,female,[CLS] _ has a history of etoh addiction [SEP],-0.46926962143753365,[CLS] _he_ has a history of etoh addiction [SEP]
39,ADD,female,[CLS] _ has a history of etoh addiction [SEP],0.3268548394322925,[CLS] _he_ has a history of etoh addiction [SEP]
40,ADD,male,[CLS] _ has a history of heroin addiction [SEP],-0.8704303278140266,[CLS] _he_ has a history of heroin addiction [SEP]
41,ADD,male,[CLS] _ has a history of heroin addiction [SEP],-0.04420503663990201,[CLS] _he_ has a history of heroin addiction [SEP]
42,ADD,male,[CLS] _ has a history of heroin addiction [SEP],-0.3648188392468852,[CLS] _he_ has a history of heroin addiction [SEP]
43,ADD,male,[CLS] _ has a history of heroin addiction [SEP],-1.0916189269208716,[CLS] _he_ has a history of heroin addiction [SEP]
44,ADD,female,[CLS] _ has a history of heroin addiction [SEP],-0.7756159922745958,[CLS] _he_ has a history of heroin addiction [SEP]
45,ADD,female,[CLS] _ has a history of heroin addiction [SEP],-0.16045223197570485,[CLS] _he_ has a history of heroin addiction [SEP]
46,ADD,female,[CLS] _ has a history of heroin addiction [SEP],-0.5753673555046876,[CLS] _he_ has a history of heroin addiction [SEP]
47,ADD,female,[CLS] _ has a history of heroin addiction [SEP],-0.12329036723835068,[CLS] _he_ has a history of heroin addiction [SEP]
48,ADD,male,[CLS] _ has a history of marijuana addiction [SEP],0.34658172060358694,[CLS] _he_ has a history of marijuana addiction [SEP]
49,ADD,male,[CLS] _ has a history of marijuana addiction [SEP],-0.48781372711495896,[CLS] _he_ has a history of marijuana addiction [SEP]
50,ADD,male,[CLS] _ has a history of marijuana addiction [SEP],0.3745109988208955,[CLS] _he_ has a history of marijuana addiction [SEP]
51,ADD,male,[CLS] _ has a history of marijuana addiction [SEP],-0.5632504002560338,[CLS] _he_ has a history of marijuana addiction [SEP]
52,ADD,female,[CLS] _ has a history of marijuana addiction [SEP],0.23418069017667967,[CLS] _he_ has a history of marijuana addiction [SEP]
53,ADD,female,[CLS] _ has a history of marijuana addiction [SEP],0.11605474797892396,[CLS] _he_ has a history of marijuana addiction [SEP]
54,ADD,female,[CLS] _ has a history of marijuana addiction [SEP],0.43462967473405767,[CLS] _he_ has a history of marijuana addiction [SEP]
55,ADD,female,[CLS] _ has a history of marijuana addiction [SEP],-0.1376856103706279,[CLS] _he_ has a history of marijuana addiction [SEP]
56,ADD,male,[CLS] _ has a history of alcohol addiction [SEP],-0.34509855516231863,[CLS] _he_ has a history of alcohol addiction [SEP]
57,ADD,male,[CLS] _ has a history of alcohol addiction [SEP],-0.2702818028662091,[CLS] _he_ has a history of alcohol addiction [SEP]
58,ADD,male,[CLS] _ has a history of alcohol addiction [SEP],-0.2697258042344459,[CLS] _he_ has a history of alcohol addiction [SEP]
59,ADD,male,[CLS] _ has a history of alcohol addiction [SEP],-1.0280494636729276,[CLS] _he_ has a history of alcohol addiction [SEP]
60,ADD,female,[CLS] _ has a history of alcohol addiction [SEP],-0.09464735345809487,[CLS] _he_ has a history of alcohol addiction [SEP]
61,ADD,female,[CLS] _ has a history of alcohol addiction [SEP],0.5511360214569225,[CLS] _he_ has a history of alcohol addiction [SEP]
62,ADD,female,[CLS] _ has a history of alcohol addiction [SEP],-0.14541433609915544,[CLS] _he_ has a history of alcohol addiction [SEP]
63,ADD,female,[CLS] _ has a history of alcohol addiction [SEP],-0.17619992383361457,[CLS] _he_ has a history of alcohol addiction [SEP]
64,ADD,male,[CLS] _ has a history of etoh usage [SEP],-0.273514276287821,[CLS] _he_ has a history of etoh usage [SEP]
65,ADD,male,[CLS] _ has a history of etoh usage [SEP],0.08325520387800364,[CLS] _he_ has a history of etoh usage [SEP]
66,ADD,male,[CLS] _ has a history of etoh usage [SEP],-0.8341441647370159,[CLS] _he_ has a history of etoh usage [SEP]
67,ADD,male,[CLS] _ has a history of etoh usage [SEP],-0.2598406282222471,[CLS] _he_ has a history of etoh usage [SEP]
68,ADD,female,[CLS] _ has a history of etoh usage [SEP],-0.6523596406820804,[CLS] _he_ has a history of etoh usage [SEP]
69,ADD,female,[CLS] _ has a history of etoh usage [SEP],-0.20011379085140377,[CLS] _he_ has a history of etoh usage [SEP]
70,ADD,female,[CLS] _ has a history of etoh usage [SEP],-1.6388917630427315,[CLS] _he_ has a history of etoh usage [SEP]
71,ADD,female,[CLS] _ has a history of etoh usage [SEP],-0.19677598364891669,[CLS] _he_ has a history of etoh usage [SEP]
72,ADD,male,[CLS] _ has a history of heroin usage [SEP],-0.8234245666306894,[CLS] _he_ has a history of heroin usage [SEP]
73,ADD,male,[CLS] _ has a history of heroin usage [SEP],0.37875718561974264,[CLS] _he_ has a history of heroin usage [SEP]
74,ADD,male,[CLS] _ has a history of heroin usage [SEP],-0.9936649728872009,[CLS] _he_ has a history of heroin usage [SEP]
75,ADD,male,[CLS] _ has a history of heroin usage [SEP],-0.9636405633078581,[CLS] _he_ has a history of heroin usage [SEP]
76,ADD,female,[CLS] _ has a history of heroin usage [SEP],-1.5847972025479014,[CLS] _he_ has a history of heroin usage [SEP]
77,ADD,female,[CLS] _ has a history of heroin usage [SEP],-0.8642857972979104,[CLS] _he_ has a history of heroin usage [SEP]
